Customer,HQ Region ,Property,Property Region (When Bid),Property Type,Complexity (1-5),Total Acreage,Address,City,State,Zip,Avg Snowfall (3-Year),SubContractor Price Per Acre,Sidewalk Acreage,SubContractor
Denholtz Properties,East,7277 William Ave,North,Industrial,1,1.64,7277 William Ave,Allentown ,PA,18106,18.3,9573,0.03,N/A
Denholtz Properties,East,89 S Commerce Way,North,Industrial,1,1.72,89 S Commerce Way,Bethlehem ,PA,18017,18.2,9575,0.03,N/A
Denholtz Properties,East,969 Postal Rd,North,Industrial,1,2.06,969 Postal Rd,Allentown ,PA,18109,18.3,9573,0.05,N/A
Denholtz Properties,East,7036 Snowdrift Rd,North,Industrial,1,2.51,7036 Snowdrift Rd,Allentown ,PA,18106,18.3,9575,0.1,N/A
Denholtz Properties,East,57 S Commerce Way,North,Industrial,1,2.75,57 S Commerce Way,Bethlehem ,PA,18017,18.2,9574,0.04,N/A
Diversified Management Plus,East,1000 Bishop Gate Blvd,Philly Metro,Office,1,2.28,1000 Bishop Gate Blvd,Mount Laurel,NJ,08054,9.1,6561,0.14,N/A
Diversified Management Plus,East,1800/1810/1820 Commerce Center,Philly Metro,Office,1,5.74,1800/1810/1820 Commerce Center,Cherry Hill,NJ,08002,9.1,6255,0.41,N/A
Diversified Management Plus,East,2000/4000/9000/10000/15000 Midlantic Dr,Philly Metro,Office,3,23.14,2000/4000/9000/10000/15000 Midlantic Dr,Mount Laurel,NJ,08054,9.1,3879,0.24,N/A
Diversified Management Plus,East,Bala Plaza,Central,Office,5,29.4,251 St Asaphs Rd,Bala Cynwyd,PA,19004,9.7,7226,2.18,N/A
FedEx,West,FedEx Warehouse 615 Aviation ,North,Industrial,2,15.61,615 Aviation Rd,Reading,PA,19605,15.3,5865,0.07,N/A
Gigliotti Group Inc.,Central,Village Shires,Central,Retail,1,2.61,1470 Buck Road,Southampton,PA,18966,11.1,9973,0.3,N/A
Gigliotti Group Inc.,Central,Summit Square Shopping Center,Central,Retail,2,8.85,3 Summit Square Ctr,Langhorne,PA,19047,10.9,5342,0.54,N/A
Glazer Properties,National,Shops at City Line,Philly Metro,Retail,1,1.31,4500-4520 City Avenue,Philadelphia,PA,19131,9.7,13019,0.11,N/A
Glazer Properties,National,Allentown Towne Center,North,Retail,1,19.1,4701-4713 W Tilghman St,Allentown,PA,19104,18.3,3196,0.26,N/A
Goodman Properties,Central,"Samson Development Company, L.P. ",Philly Metro,Retail,1,0.41,1054-1056 Baltimore Pike,Springfield,PA,19046,7.6,17806,0.05,N/A
Goodman Properties,Central,1100 Baltimore Pike,Philly Metro,Retail,1,0.46,1100 Baltimore Pike,Springfield,PA,19046,7.6,17171,0.07,N/A
Goodman Properties,Central,"Newsquared Realty Partners, L.P.",Philly Metro,Retail,1,0.57,3511 West Chester Pike,Newtown Square,PA ,19073,11,16377,0.03,N/A
Goodman Properties,Central,"North Baltimore Realty Associates, L.P.",Philly Metro,Retail,1,0.72,101-103 Baltimore Pike,Springfield,PA,19046,7.6,11636,0.08,N/A
Helm Property Group,National,416 S Bethlehem Pike,Central ,Office,1,0.47,416 S Bethlehem Pike,Ambler,PA,19002,11.8,16641,0.08,N/A
Helm Property Group,National,254 W Lancaster Ave,West,Office,1,0.71,254 W Lancaster Ave,Malvern,PA,19355,12.7,13018,0.03,N/A
Helm Property Group,National,Lidl Plaza,East,Retail,1,4.73,3121 Fire Rd,Egg Harbor Twp,NJ,08234,8.3,4554,0.25,N/A
Kairos,Central,2045 Wheatsheaf Ln,Philly Metro,Industrial,1,2.56,2045 Wheatsheaf Lane,Philadelphia ,PA,19124,7.9,6545,0.28,N/A
Kairos,Central,11500 Roosevelt Blvd,Philly Metro,Industrial,1,2.93,11500 Roosevelt Blvd ,Philadelphia ,PA,19116,9.6,4091,0.02,N/A
Kairos,Central,1771 Tomlinson Road,Philly Metro,Office,1,5.62,1771 Tomlinson Road,Philadelphia ,PA,19116,9.6,3876,0.06,N/A
Kairos,Central,9901 Blue Grass Rd,Philly Metro,Industrial,1,7.3,9901 Bluegrass Road ,Philadelphia ,PA,19114,9.4,3402,0.07,N/A
Kairos,Central,600-602 Office Center Dr,Central,Office,4,11.66,600-602 Office Center Dr,Fort Washington,PA,19034,11.2,6158,1,N/A
Kairos,Central,"100, 200, 400 Commerce Dr",National,Office,2,12.15,"100, 200, 400 Commerce Dr",Newark,DE,19713,8.3,4758,0.43,N/A
Katz Properties Retail (KPR Centers),Central ,The Shops at Blue Bell,Central,Retail,3,6.54,1760 Dekalb Pike,Blue Bell,PA,19422,11.7,5305,0.29,N/A
Lamar Companies,National,Village at Cambridge Crossing,Philly Metro,Retail,2,10.58,4200 Dearborn Circle,Mount Laurel,NJ,08054,9.1,4808,0.89,N/A
Legend Properties,Central,The Village of Taunton Forge,Philly Metro,Retail,2,8.08,200 Tuckerton Rd,Medford,NJ,08055,9.1,7802,0.59,N/A
Madison Marquette,Philly Metro,Glen Eagle Square,Philly Metro,Retail,4,10.4,475-543 Wilmington Pike,Glen Mills,PA,19342,8.5,6366,0.53,N/A
"NAI Geis Realty Group, Inc.",Philly Metro,1597 Medical Drive,Central,Medical,1,0.54,1597 Medical Drive,Pottstown,PA,19464,13.7,13829,0.02,N/A
"NAI Geis Realty Group, Inc.",Philly Metro,2550-2650 Eisenhower Ave,Central,Office,1,2,2550-2650 Eisenhower Ave,Trooper,PA,19403,12,7185,0.21,N/A
Paramount Realty,West,Shoppes at Shillington ,West,Retail,1,6.28,600 E Lancaster Ave,Shillington,PA,19607,14.5,4219,0.29,N/A
Paramount Realty,West,Quarry Crossings,West,Retail,3,6.94,1300 N Charlotte St,Downingtown,PA,19335,11.4,3882,0.45,N/A
Paramount Realty,West,North End Shopping Center,Central,Retail,1,7.01,1300 N Charlotte St,Pottstown,PA,19464,13.7,3945,0.34,N/A
Paramount Realty,West,Lionville Shopping Center,West,Retail,1,7.16,126 Eagleview Blvd,Exton,PA,19341,11.4,3698,0.36,N/A
Paramount Realty,West,Marketplace at Westtown ,West,Retail,1,8.15,1502 West Chester Pike,West Chester,PA,19380,11.4,4169,0.24,N/A
Paramount Realty,West,Dreshertown Plaza ,Central,Retail,1,8.55,1650 Limekiln Pike,Dreshertown,PA,19025,11.6,4514,0.68,N/A
Paramount Realty,West,Centre Square Commons ,Central,Retail,2,8.96,903 Dekalb Pike,Blue Bell,PA,19422,11.7,4973,1.24,N/A
Paramount Realty,West,Festival at Exton,West,Retail,1,9.24,400 W Lincoln Hwy,Exton,PA,19341,11.4,3207,0.43,N/A
Paramount Realty,West,Limerick Crossing,Central,Retail,1,9.34,5 W Ridge Pike,Limerick,PA,19468,13.7,4148,0.53,N/A
Paramount Realty,West,Spring Towne Shopping Center,West,Retail,1,16.26,2631 Shillington Rd,Sinking Spring,PA,19608,14.5,3000,0.28,N/A
Paramount Realty,West,Berkshire Square,West,Retail,1,17.53,1183 Berkshire Blvd,Wyomissing,PA,19610,14.5,3268,0.9,N/A
Paramount Realty,West,Townsquare Plaza ,West,Retail,1,17.87,4300 N 5th Street Hwy,Temple,PA,19560,15.3,3307,1.23,N/A
Scully Company,Central,Noble Plaza,Central,Office,1,2.35,801 Old York Rd,Jenkintown,PA,19046,11,6022,0.08,N/A
"Secure Real Estate Management, L.P.",Central,New Garden Town Square,West,Retail,3,8.24,350 Scarlett Rd,Kennett Square,PA,19348,8.3,4198,0.27,N/A
"Seyon Management, LLC",National,5 Chelsea Pkwy,Philly Metro,Industrial,1,0.83,5 Chelsea Pkwy,Boothwyn,PA,19061,7.4,13278,0.06,N/A
"Seyon Management, LLC",National,780 Primos Ave,Philly Metro,Industrial,1,1.37,780 Primos Ave,Folcroft,PA,19032,7.4,9373,0.05,N/A
"Seyon Management, LLC",National,1 Chelsea Pkwy,Philly Metro,Industrial,1,1.56,1 Chelsea Pkwy,Boothwyn,PA,19061,7.4,8344,0.05,N/A
"Seyon Management, LLC",National,3 Chelsea Pkwy,Philly Metro,Industrial,1,1.63,3 Chelsea Pkwy,Boothwyn,PA,19061,7.4,7913,0.05,N/A
"Seyon Management, LLC",National,7 Chelsea Pkwy,Philly Metro,Industrial,1,3.03,7 Chelsea Pkwy,Boothwyn,PA,19061,7.4,7585,0.13,N/A
"Seyon Management, LLC",National,1 Judy Way,Philly Metro,Industrial,1,3.14,1 Judy Way,Aston,PA,19014,8.5,4442,0.07,N/A
Site Centers,National,Echelon Village Plaza,Philly Metro,Retail,1,6,1120 White Horse Rd,Voorhees,NJ,08043,7.6,4887,0.31,N/A
Site Centers,National,Hamilton Marketplace,Philly Metro,Retail,5,61.15,US 130 & Klockner Rd,Hamilton,NJ,08691,9,3768,4.04,N/A
SVN Imperial Realty,North,4150 Easton Ave,North,Retail,1,0.5,4150 Easton Ave,Bethlehem,PA,18020,18.3,17745,0.07,N/A
SVN Imperial Realty,North,2101 Emerick Blvd,North,Medical,1,1.31,2101 Emerick Blvd,Bethlehem,PA,18020,18.3,8770,0.15,N/A
Wolf Commercial Real Estate (WCRE),Philly Metro,1 Holtec Dr,Philly Metro,Office,1,0.99,1 Holtec Dr,Marlton,NJ,08053,9.1,9611,0.05,N/A
Wolf Commercial Real Estate (WCRE),Philly Metro,63 Kresson Rd,Philly Metro,Medical,1,0.99,63 Kresson Rd,Cherry Hill,NJ,08034,9.1,9973,0.06,N/A
Wolf Commercial Real Estate (WCRE),Philly Metro,496 Kings Highway ,Philly Metro,Office,1,1.73,496 Kings Highway ,Cherry Hill,NJ,08034,9.1,7264,0.15,N/A
Wolf Commercial Real Estate (WCRE),Philly Metro,1020-1060 Kings Highway,Philly Metro,Office,1,7.72,1020-1060 Kings Highway,Cherry Hill,NJ,08034,9.1,4728,0.36,N/A
Wolfson Group Inc.,Central,Eddystone Crossings,Philly Metro,Retail,3,6.95,1570 Chester Pike,Eddystone,PA,19022,7.4,4197,0.43,N/A
